u,v,e_type,ts,u_type,v_type,e_idx
434,1957,2,1673643328,1,3,157
434,1305,2,1673643328,1,3,158
434,363,2,1673643328,1,3,159
434,285,2,1673643328,1,3,160
198,2665,2,1673643328,1,3,161
198,1890,2,1673643328,1,3,162
198,1816,2,1673643328,1,3,163
198,292,2,1673643328,1,3,164
434,2373,2,1673643328,1,3,165
198,880,2,1673643328,1,3,166
434,13013,0,1673645319,1,2,167
198,13013,1,1673645319,1,2,168
45,2580,2,1673654695,1,3,169
45,2433,2,1673654695,1,3,170
45,2721,2,1673654695,1,3,171
111,1029,2,1673654695,1,3,172
111,283,2,1673654695,1,3,173
111,1550,2,1673654695,1,3,174
111,855,2,1673654695,1,3,175
111,2302,2,1673654695,1,3,176
45,2824,2,1673654695,1,3,177
45,2610,2,1673654695,1,3,178
45,8953,1,1673657360,1,2,179
111,8953,0,1673657360,1,2,180
59,759,2,1673659341,1,3,181
59,1223,2,1673659341,1,3,182
59,157,2,1673659341,1,3,183
283,1771,2,1673659341,1,3,184
283,376,2,1673659341,1,3,185
283,618,2,1673659341,1,3,186
283,1755,2,1673659341,1,3,187
283,449,2,1673659341,1,3,188
59,2468,2,1673659341,1,3,189
59,2223,2,1673659341,1,3,190
283,8942,0,1673660884,1,2,191
59,8942,1,1673660884,1,2,192
366,237,2,1673663123,1,3,193
366,1663,2,1673663123,1,3,194
366,905,2,1673663123,1,3,195
366,864,2,1673663123,1,3,196
366,2020,2,1673663123,1,3,197
51,2533,2,1673663123,1,3,198
51,351,2,1673663123,1,3,199
51,175,2,1673663123,1,3,200
51,2244,2,1673663123,1,3,201
51,90,2,1673663123,1,3,202
366,8943,0,1673664803,1,2,203
51,8943,1,1673664803,1,2,204
205,2612,2,1673680986,1,3,205
205,1549,2,1673680986,1,3,206
205,177,2,1673680986,1,3,207
205,824,2,1673680986,1,3,208
108,2082,2,1673680986,1,3,209
108,2460,2,1673680986,1,3,210
108,1326,2,1673680986,1,3,211
205,1783,2,1673680986,1,3,212
108,178,2,1673680986,1,3,213
108,381,2,1673680986,1,3,214
108,4056,0,1673682822,1,2,215
205,4056,1,1673682822,1,2,216
108,2082,2,1673684119,1,3,217
108,2460,2,1673684119,1,3,218
108,1326,2,1673684119,1,3,219
108,381,2,1673684119,1,3,220
108,178,2,1673684119,1,3,221
205,2612,2,1673684119,1,3,222
205,177,2,1673684119,1,3,223
205,1783,2,1673684119,1,3,224
205,824,2,1673684119,1,3,225
205,1549,2,1673684119,1,3,226
108,4057,1,1673685898,1,2,227
205,4057,0,1673685898,1,2,228
205,1783,2,1673687249,1,3,229
205,1549,2,1673687249,1,3,230
205,2612,2,1673687249,1,3,231
205,177,2,1673687249,1,3,232
205,824,2,1673687249,1,3,233
108,381,2,1673687249,1,3,234
108,2460,2,1673687249,1,3,235
108,1326,2,1673687249,1,3,236
108,178,2,1673687249,1,3,237
108,2082,2,1673687249,1,3,238
169,1277,2,1673687927,1,3,239
458,230,2,1673687927,1,3,240
458,1098,2,1673687927,1,3,241
458,2366,2,1673687927,1,3,242
458,1562,2,1673687927,1,3,243
458,111,2,1673687927,1,3,244
169,1554,2,1673687927,1,3,245
169,3022,2,1673687927,1,3,246
169,697,2,1673687927,1,3,247
169,1522,2,1673687927,1,3,248
108,4058,0,1673689941,1,2,249
205,4058,1,1673689941,1,2,250
169,4059,1,1673690689,1,2,251
458,4059,0,1673690689,1,2,252
458,1098,2,1673691946,1,3,253
458,2366,2,1673691946,1,3,254
458,1562,2,1673691946,1,3,255
458,111,2,1673691946,1,3,256
169,1554,2,1673691946,1,3,257
169,3022,2,1673691946,1,3,258
169,1522,2,1673691946,1,3,259
169,1277,2,1673691946,1,3,260
169,697,2,1673691946,1,3,261
458,230,2,1673691946,1,3,262
458,4060,0,1673693475,1,2,263
169,4060,1,1673693475,1,2,264
407,3015,2,1673696359,1,3,265
407,871,2,1673696359,1,3,266
407,1753,2,1673696359,1,3,267
363,154,2,1673696359,1,3,268
363,791,2,1673696359,1,3,269
363,2842,2,1673696359,1,3,270
363,2807,2,1673696359,1,3,271
363,205,2,1673696359,1,3,272
407,1585,2,1673696359,1,3,273
407,1999,2,1673696359,1,3,274
363,4061,1,1673698795,1,2,275
407,4061,0,1673698795,1,2,276
407,1999,2,1673700223,1,3,277
407,871,2,1673700223,1,3,278
363,154,2,1673700223,1,3,279
407,1753,2,1673700223,1,3,280
363,205,2,1673700223,1,3,281
363,2807,2,1673700223,1,3,282
363,2842,2,1673700223,1,3,283
363,791,2,1673700223,1,3,284
407,3015,2,1673700223,1,3,285
407,1585,2,1673700223,1,3,286
407,4062,1,1673702105,1,2,287
363,4062,0,1673702105,1,2,288
407,1999,2,1673703404,1,3,289
407,1753,2,1673703404,1,3,290
407,1585,2,1673703404,1,3,291
407,3015,2,1673703404,1,3,292
363,205,2,1673703404,1,3,293
363,154,2,1673703404,1,3,294
363,2807,2,1673703404,1,3,295
363,2842,2,1673703404,1,3,296
363,791,2,1673703404,1,3,297
407,871,2,1673703404,1,3,298
363,4063,1,1673706278,1,2,299
407,4063,0,1673706278,1,2,300
144,2426,2,1673744316,1,3,301
144,1420,2,1673744316,1,3,302
213,2945,2,1673744316,1,3,303
213,1478,2,1673744316,1,3,304
213,454,2,1673744316,1,3,305
213,2599,2,1673744316,1,3,306
213,2033,2,1673744316,1,3,307
144,1976,2,1673744316,1,3,308
144,153,2,1673744316,1,3,309
144,1011,2,1673744316,1,3,310
144,8954,1,1673746574,1,2,311
213,8954,0,1673746574,1,2,312
29,1758,2,1673749010,1,3,313
29,1559,2,1673749010,1,3,314
29,2622,2,1673749010,1,3,315
127,1013,2,1673749010,1,3,316
127,2128,2,1673749010,1,3,317
127,1376,2,1673749010,1,3,318
127,1521,2,1673749010,1,3,319
127,1691,2,1673749010,1,3,320
29,1511,2,1673749010,1,3,321
29,2974,2,1673749010,1,3,322
29,8967,1,1673750689,1,2,323
127,8967,0,1673750689,1,2,324
421,2554,2,1673752619,1,3,325
84,1471,2,1673752619,1,3,326
421,3060,2,1673752619,1,3,327
421,939,2,1673752619,1,3,328
421,1198,2,1673752619,1,3,329
421,1568,2,1673752619,1,3,330
84,2481,2,1673752619,1,3,331
84,361,2,1673752619,1,3,332
84,694,2,1673752619,1,3,333
