,0
1630223,599
1630224,600
1630225,601
1630227,602
1630228,603
1630230,604
1630231,605
1630233,606
1630235,607
1630237,608
1630238,609
1630240,610
1630241,611
1630243,612
1630245,613
1630247,614
1630248,615
1630249,616
1630250,617
1630253,618
1630256,619
1630257,620
1630259,621
1630264,622
1630267,623
1630268,624
1630270,625
1630271,626
1630273,627
1630275,628
1630278,629
1630284,630
1630285,631
1630286,632
1630288,633
1630296,634
1630306,635
1630311,636
1630314,637
1630321,638
1630322,639
1630346,640
1630466,641
1630492,642
1630525,643
1630526,644
1630527,645
1630528,646
1630529,647
1630530,648
1630531,649
1630532,650
1630533,651
1630534,652
1630535,653
1630536,654
1630537,655
1630538,656
1630539,657
1630540,658
1630541,659
1630543,660
1630544,661
1630547,662
1630548,663
1630549,664
1630550,665
1630551,666
1630552,667
1630553,668
1630554,669
1630555,670
1630556,671
1630557,672
1630558,673
1630559,674
1630560,675
1630561,676
1630562,677
1630563,678
1630564,679
1630565,680
1630566,681
1630567,682
1630568,683
1630569,684
1630570,685
1630571,686
1630572,687
1630573,688
1630575,689
1630577,690
1630578,691
1630579,692
1630580,693
1630581,694
1630582,695
1630583,696
1630585,697
1630586,698
1630587,699
1630588,700
1630589,701
1630590,702
1630591,703
1630592,704
1630593,705
1630595,706
1630596,707
1630597,708
1630598,709
1630600,710
1630601,711
1630602,712
1630603,713
1630604,714
1630605,715
1630606,716
1630607,717
1630608,718
1630610,719
1630611,720
1630612,721
1630613,722
1630617,723
1630618,724
1630620,725
1630622,726
1630623,727
1630624,728
1630625,729
1630627,730
1630631,731
1630637,732
1630639,733
1630640,734
1630641,735
1630642,736
1630643,737
1630644,738
1630645,739
1630647,740
1630648,741
1630649,742
1630651,743
1630652,744
1630658,745
1630660,746
1630665,747
1630672,748
1630675,749
1630678,750
1630679,751
1630686,752
1630688,753
1630691,754
1630692,755
1630693,756
1630695,757
1630696,758
1630698,759
1630699,760
1630700,761
1630701,762
1630702,763
1630703,764
1630707,765
1630758,766
1630777,767
1630787,768
1630791,769
1630792,770
1630793,771
1630801,772
1630835,773
1630846,774
1630929,775
1630994,776
1631093,777
1631094,778
1631095,779
1631096,780
1631097,781
1631098,782
1631099,783
1631100,784
1631101,785
1631102,786
1631103,787
1631104,788
1631105,789
1631106,790
1631107,791
1631108,792
1631109,793
1631110,794
1631111,795
1631112,796
1631113,797
1631114,798
1631115,799
1631116,800
1631117,801
1631119,802
1631120,803
1631121,804
1631122,805
1631123,806
1631124,807
1631128,808
1631131,809
1631132,810
1631133,811
1631157,812
1631159,813
1631160,814
1631165,815
1631166,816
1631167,817
1631169,818
1631170,819
1631171,820
1631172,821
1631173,822
1631197,823
1631199,824
1631200,825
1631204,826
1631205,827
1631207,828
1631209,829
1631210,830
1631211,831
1631212,832
1631213,833
1631214,834
1631216,835
1631217,836
1631218,837
1631219,838
1631220,839
1631221,840
1631222,841
1631223,842
1631230,843
1631234,844
1631238,845
1631241,846
1631242,847
1631243,848
1631245,849
1631246,850
1631250,851
1631254,852
1631257,853
1631258,854
1631260,855
1631262,856
1631288,857
1631298,858
1631300,859
1631301,860
1631303,861
1631306,862
1631309,863
1631311,864
1631317,865
1631320,866
1631321,867
1631322,868
1631323,869
1631338,870
1631339,871
1631342,872
1631347,873
1631348,874
1631351,875
1631367,876
1631368,877
1631371,878
1631376,879
1631386,880
1631421,881
1631455,882
1631466,883
1631495,884
1641645,885
1641705,886
1641706,887
1641707,888
1641708,889
1641709,890
1641710,891
1641711,892
1641712,893
1641713,894
1641715,895
1641716,896
1641717,897
1641718,898
1641720,899
1641721,900
1641722,901
1641723,902
1641724,903
1641726,904
1641727,905
1641729,906
1641730,907
1641731,908
1641732,909
1641733,910
1641734,911
